,German,English
0,ich,I
1,ist,is
2,ich,I
3,nicht,not
4,Sie,She
5,du,you
6,das,the
7,die,the
8,es,it
9,und,and
10,zu,to
11,sie,she
12,Das,The
13,ein,a
14,in,in
15,wir,we
16,Du,You
17,mir,me
18,mit,with
19,Was,What
20,den,the
21,mich,me
22,was,What
23,auf,on
24,dass,that
25,er,he
26,eine,one
27,Es,It
28,hat,has
29,Wir,We
30,Und,And
31,so,so
32,von,from
33,dich,you
34,war,was
35,haben,have
36,für,for
37,Ja,Yes
38,hier,here
39,an,at
40,habe,have
41,Er,He
42,bin,am
43,wie,How
44,noch,still
45,dir,you
46,uns,us
47,sich,itself
48,Die,The
49,nur,only
50,einen,a
51,Nein,No
52,dem,dem
53,ihn,him
54,auch,also
55,hast,have
56,sein,be
57,ihr,her
58,da,there
59,aus,out of
60,kann,can
61,aber,but
62,Aber,But
63,schon,already
64,wenn,if
65,wird,becomes
66,um,around
67,Wie,How
68,als,as
69,bist,are
70,im,in the
71,mal,just
72,doch,but
73,gut,good
74,meine,mine
75,weiß,white
76,Wenn,If
77,werden,become
78,Der,The
79,nach,after
80,ja,Yes
81,Oh,Oh
82,oder,or
83,dann,then
84,will,want
85,mein,my
86,mehr,more
87,keine,no
88,etwas,something
89,alles,everything
90,muss,must
91,immer,always
92,nichts,nothing
93,man,man
94,wieder,again
95,bei,at
96,hab,have
